ticket-id,issue,category,expected_resolution
TKT-TEST-10001,Karyawan tidak bisa login ke sistem manajemen dokumen SharePoint setelah penggantian laptop baru,Access,"Lakukan sign-out penuh dari akun Microsoft 365 di laptop lama via portal https://myaccount.microsoft.com/device-list, kemudian join domain di laptop baru dengan akun IT Admin"
TKT-TEST-10002,Akun VDI (Virtual Desktop Infrastructure) karyawan terkunci setelah beberapa kali percobaan login salah,Access,Unlock akun VDI melalui konsol Citrix Studio; informasikan karyawan agar tidak mencoba login berulang sebelum akun dibuka
TKT-TEST-10003,Karyawan tidak bisa mengakses portal pengajuan cuti online karena hak akses belum diberikan pasca-mutasi divisi,Access,"Koordinasikan dengan HR untuk konfirmasi divisi baru, kemudian update group membership di Active Directory sesuai divisi tujuan"
TKT-TEST-10004,Login ke sistem monitoring CCTV jaringan ditolak meskipun sudah menggunakan kredensial yang benar,Access,Periksa apakah akun termasuk dalam security group 'CCTV-Viewer'; tambahkan ke group via Active Directory Users and Computers jika belum
TKT-TEST-10005,Karyawan baru tidak bisa login ke laptop pertama kalinya meski akun domain sudah dibuat oleh tim IT,Access,"Pastikan laptop sudah tergabung ke domain Acme.LOCAL; jika belum, join domain dengan akun admin lokal terlebih dahulu lalu restart"
TKT-TEST-10006,Sertifikat digital karyawan untuk tanda tangan dokumen elektronik telah kedaluwarsa,Access,Ajukan permohonan pembaruan sertifikat ke tim PKI internal melalui portal ITSM; SLA pembaruan 2 hari kerja
TKT-TEST-10007,Karyawan tidak bisa mengakses folder shared drive departemen setelah perubahan struktur organisasi,Access,Update permission folder di File Server menggunakan akun Admin; tambahkan karyawan ke security group departemen baru
TKT-TEST-10008,Akun email karyawan dinonaktifkan secara otomatis karena tidak login lebih dari 60 hari saat dinas luar negeri,Access,Aktifkan kembali akun via Exchange Admin Center; koordinasikan dengan atasan karyawan untuk verifikasi identitas sebelum aktivasi
TKT-TEST-10009,Karyawan tidak bisa login ke portal e-procurement karena akun belum terdaftar meski sudah 1 minggu onboarding,Access,"Cek apakah HR sudah mengirimkan data onboarding ke tim IT; jika sudah, buat akun manual di sistem e-procurement dengan data NIK dan divisi"
TKT-TEST-10010,Token hardware RSA karyawan tidak bisa generate OTP yang valid untuk login ke sistem perbankan internal,Access,"Lakukan resync token RSA melalui RSA Security Console; jika gagal, issue token baru dan deaktivasi token lama"
TKT-TEST-10011,Karyawan tidak bisa akses aplikasi mobile ESS (Employee Self Service) setelah update aplikasi terbaru,Access,"Instruksikan karyawan untuk logout, hapus cache aplikasi, dan login ulang; jika masih gagal periksa status akun di portal M365"
TKT-TEST-10012,Hak akses karyawan ke sistem approval anggaran belum dicabut meski sudah pindah divisi 2 minggu lalu,Access,Cabut akses segera dari sistem approval via role management; laporkan ke atasan sebagai temuan akses berlebih (excess privilege)
TKT-TEST-10013,Login ke Zoom dengan akun korporat gagal karena karyawan mencoba menggunakan akun Zoom personal,Access,Jelaskan karyawan harus menggunakan SSO login via portal https://acme.zoom.example dengan akun email korporat @acme.example
TKT-TEST-10014,Karyawan tidak bisa akses sistem helpdesk ITSM untuk membuka tiket baru karena akun terhapus tidak sengaja,Access,Buat ulang akun di portal ServiceNow/ITSM dengan data NIK yang sama; pastikan tidak ada tiket terbuka yang hilang
TKT-TEST-10015,Akun domain karyawan resign masih aktif dan bisa digunakan 3 minggu setelah tanggal resign,Access,Nonaktifkan akun domain segera di Active Directory; audit akses terakhir dan laporkan ke HR dan manajemen; review SOP offboarding
TKT-TEST-10016,Karyawan tidak bisa akses repositori Git internal karena belum ditambahkan ke project yang relevan,Access,Tambahkan karyawan ke project GitLab/Bitbucket internal oleh project owner; koordinasikan dengan team lead divisi terkait
TKT-TEST-10017,Login ke dashboard Power BI korporat gagal karena lisensi Power BI Pro belum di-assign,Access,Assign lisensi Power BI Pro melalui Microsoft 365 Admin Center; tunggu propagasi hingga 15 menit sebelum karyawan mencoba login ulang
TKT-TEST-10018,Karyawan tidak bisa akses sistem manajemen aset IT untuk update data inventaris,Access,Verifikasi apakah karyawan memiliki role 'Asset Manager' di sistem; tambahkan role yang sesuai melalui admin panel aplikasi aset
